Name,Link,Summary
A Day In GPT Land,https://chatgpt.com/g/g-FiD7qP5nQ-a-day-in-gpt-land,A GPT who guides the user through an entire day coming up with a random fun itinerary
Agenda For The Pub,https://chatgpt.com/g/g-kUnX6lKVm-agenda-for-the-pub,Formats discussion points into a friendly meeting agenda with drink break suggestions.
AI Career Ideator,https://chatgpt.com/g/g-QX63wl7mk-ai-career-ideator,Career advice GPT which focuses on encouraging users to embrace AI and further their proficiency in leveraging it
AI Could Help Here!,https://chatgpt.com/g/g-9V1PGBmlv-ai-could-help-here,Identifies ways AI and GPTs can improve your life suggesting concrete use-cases
Airport Food Options,https://chatgpt.com/g/g-898ZTQxjw-airport-food-options,Identifies food and drink options at an airport
AI Tech Advisor,https://chatgpt.com/g/g-SwX92pm8c-ai-tech-advisor,Suggests emerging AI technologies for specific use cases.
Assertiveness Coach,https://chatgpt.com/g/g-bZ6ZOCq8Z-assertiveness-coach,Coaches users to be more assertive and set boundaries.
Automate My Workflow,https://chatgpt.com/g/g-SaJGzEr7O-automate-my-workflow,"A strategist guiding you towards total job automation, one task at a time."
Backoffice / Admin GPT Creation Assistant,https://chatgpt.com/g/g-h2bbjenP4-backoffice-admin-gpt-creation-assistant,GPT to suggest custom GPTs for backoffice/admin operations
Backoffice Development Copilot,https://chatgpt.com/g/g-gdDolOeNm-backoffice-development-copilot,"A GPT which guides users through the process of developing effective backoffice and administrative systems for both personal and business uses, highlighting opportunities for AI enhancement and systems integration where possible"
Backup Coach,https://chatgpt.com/g/g-hPangtCss-backup-coach,A GPT to assess the user's backup approach for a given data store and suggest ideas for improvement
Boss Update Batcher,https://chatgpt.com/g/g-P37s96ili-boss-update-batcher,GPT to create a running log of updates for a boss
Brainstorming Assistant,https://chatgpt.com/g/g-nqw5EokfU-brainstorming-assistant,GPT which provides guidance to help the user have effective brainstorming sessions
Brainstorming Coach,https://chatgpt.com/g/g-joLoB0e1O-brainstorming-coach,A GPT to help users get started with brainstorming and make the most of the technique
BrandReliabilityGPT,https://chatgpt.com/g/g-XB1T89x31-brandreliabilitygpt,Helps users gauge the reliability of brands.
Brief Generator,https://chatgpt.com/g/g-v9bULcFsS-brief-generator,Summarizes and organizes activities into brief reports with highlights for deadlines.
Business Continuity Advisor,https://chatgpt.com/g/g-3xcGPBeU0-business-continuity-advisor,A bot to advise upon the level of resilience of your business processes
ChatGPT Prompt Engineering Buddy,https://chatgpt.com/g/g-8xZmugrKD-chatgpt-prompt-engineering-buddy,A GPT which advises users upon how to craft prompts to get the best results on ChatGPT
Custom GPT Configuration Helper,https://chatgpt.com/g/g-Ch4CywyS4-custom-gpt-configuration-helper,GPT for generating configurations for custom GPTs
Custom GPT Creator,https://chatgpt.com/g/g-Sg1Uvkc5e-custom-gpt-creator,Helps brainstorm and create custom GPTs with detailed instructions.
Daily Schedule Manager,https://chatgpt.com/g/g-aId4Jee9a-daily-schedule-manager,GPT for creating a daily schedule
Databases > Spreadsheets,https://chatgpt.com/g/g-bfZqQSF8p-databases-spreadsheets,GPT to guide users migrating business systems from spreadsheet-based process onto those built around a relational database
Data Visualisation & Storytelling Guide,https://chatgpt.com/g/g-r2ms27CFU-data-visualisation-storytelling-guide,Guides users towards thinking about how data could be effectively visualised including through leveraging mixed media.
Disaster Debrief Assistant,https://chatgpt.com/g/g-UHFWorGUH-disaster-debrief-assistant,A GPT to empathetically help the user to debrief from an event in which things went wrong
Disaster Preparedness Expert,https://chatgpt.com/g/g-LoHCuhe5q-disaster-preparedness-expert,Generates detailed disaster scenarios and preparedness steps.
Document Stats And Numbers Miner,https://chatgpt.com/g/g-4cjYLd5j5-documents-stats-and-numbers-miner,A GPT which parses user-uploaded documents and identifies statistics and data tables contained in them. The GPT outputs a report attempting to assess how noteworthy the stats are.
Don't Custom GPT Alone!,https://chatgpt.com/g/g-oQJ8UozJB-don-t-custom-gpt-alone,A GPT to help custom GPT builders and enthusiasts to find others who share their passion and belief in this AI application
Fedora Hardware Finder,https://chatgpt.com/g/g-aOzPvSNRd-fedora-hardware-finder,A GPT which tries to find hardware that Fedora users have reported to be compatible with this Linux distro
Friends & Family Meeting Planner,https://chatgpt.com/g/g-OMeW6zQy7-friends-family-meeting-planner,Sometimes the best way to talk import things through is to plan them out
Geopolitical Scenario Simulator,https://chatgpt.com/g/g-p2PZeDpNv-geopolitical-scenario-simulator,GPT for simulating various geopolitical scenarios based upon current event
Gifted Adult Helper,https://chatgpt.com/g/g-zoXyCtxm3-gifted-adult-helper,A custom GPT trained to expect interactions from adults who identify as gifted
Github repository summariser,https://chatgpt.com/g/g-v3vhzWOf3-github-repository-summariser, Summarises the contents of a Github repository
Grow With My Job,https://chatgpt.com/g/g-v3vKpYxCq-grow-with-my-job,A GPT to help users identify ways to grow professionally within the context of their current job
If We Don't Change...,https://chatgpt.com/g/g-AltOe5P4k-if-we-don-t-change,A GPT to highlight the potential costs of humanity failing to tackle vital issues including climate change
Improve My GPT Prompt,https://chatgpt.com/g/g-YJzimC1NU-improve-my-gpt-prompt,GPT which analyses and optimises prompts
Job Performance Coach,https://chatgpt.com/g/g-lJNf8Km5p-job-performance-coach,Helps users perform impressively at work
Let's Delve Into This,https://chatgpt.com/g/g-ThOA6cwPW-let-s-delve-into-this,A GPT which focuses on providing learning pathways for those eager to explore a new field of knowledge
Present Selection Helper,https://chatgpt.com/g/g-jXHLHropx-present-selection-helper,A GPT to help the user buy thoughtful gifts that will be appreciated
Prompt Shortener,https://chatgpt.com/g/g-7EtUXtZvP-prompt-shortener,Teaches GPT users how to shorten prompts and custom GPT configurations
Quick Email Template Generator,https://chatgpt.com/g/g-XyhXTABJP-quick-email-template-generator,A GPT for creating email templates when you need to repeat similar content in multiple emails
"Quiet, Please!",https://chatgpt.com/g/g-DP63EeIhs-quiet-please,"A GPT to help those who live with sound sensitivity to find places to get some peace and quiet, whether for work or lesiure"
Sustainable Living Advisor,https://chatgpt.com/g/g-QO1EZ82Az-sustainable-living-advisor,A GPT which provides concrete sustainable living recommendations based upon user requests
Taxonomy & Category Builder,https://chatgpt.com/g/g-ryPoXnaZ2-taxonomy-category-builder,GPT to assist users with developing taxonomies and category lists for data-driven applications
Tech Product Finder,https://chatgpt.com/g/g-VYWtk1FeY-tech-product-finder,GPT which receives a spec from the user and then identifies potential products
The Creativity Coach,https://chatgpt.com/g/g-1aqoukyao-the-creativity-coach,A GPT to help nurture the user's creativity and guide them towards creative expression
