Name,Recommended!,Purpose,Summary,Link
AI Could Help Here!,1,"Productivity,Stack Enhancement",Identifies ways AI and GPTs can improve your life suggesting concrete use-cases,https://chatgpt.com/g/g-9V1PGBmlv-ai-could-help-here
AI Tech Advisor,1,Technology,Suggests emerging AI technologies for specific use cases.,https://chatgpt.com/g/g-SwX92pm8c-ai-tech-advisor
Automate My Workflow,1,Organisation,"A strategist guiding you towards total job automation, one task at a time.",https://chatgpt.com/g/g-SaJGzEr7O-automate-my-workflow
Backoffice / Admin GPT Creation Assistant,,Technology,GPT to suggest custom GPTs for backoffice/admin operations,https://chatgpt.com/g/g-h2bbjenP4-backoffice-admin-gpt-creation-assistant
Backoffice Development Copilot,,Organisation,"A GPT which guides users through the process of developing effective backoffice and administrative systems for both personal and business uses, highlighting opportunities for AI enhancement and systems integration where possible",https://chatgpt.com/g/g-gdDolOeNm-backoffice-development-copilot
Backup Coach,1,Technology,A GPT to assess the user's backup approach for a given data store and suggest ideas for improvement,https://chatgpt.com/g/g-hPangtCss-backup-coach
Beer Tap Identifier,1,Research Assistance,Identifies and describes beers from photos of beer taps.,https://chatgpt.com/g/g-To4LJ5qvI-beer-tap-identifier
Boss Update Batcher,1,Work tool,GPT to create a running log of updates for a boss,https://chatgpt.com/g/g-P37s96ili-boss-update-batcher
Brief Generator,1,Work tool,Summarizes and organizes activities into brief reports with highlights for deadlines.,https://chatgpt.com/g/g-v9bULcFsS-brief-generator
Business Continuity Advisor,,Preparedness,A bot to advise upon the level of resilience of your business processes,https://chatgpt.com/g/g-3xcGPBeU0-business-continuity-advisor
Career Pivot Ideator,,Research Assistance,Suggests minor career pivots that users could take to work in more fulfilling jobs,https://chatgpt.com/g/g-YsvxFjdDB-career-pivot-ideator
ChatGPT Capabilities Miner,1,GPT Development,Answers questions about ChatGPT capabilities and custom models.,https://chatgpt.com/g/g-x1RD3GXRZ-chatgpt-capabilities-miner
Checklist Generator,1,Organisation,"Generates tailored checklists to ensure safety, preparedness, and completeness for various activities and contexts.",https://chatgpt.com/g/g-xE1MjiydB-checklist-generator
Custom GPT Creator,1,GPT Development,Helps brainstorm and create custom GPTs with detailed instructions.,https://chatgpt.com/g/g-Sg1Uvkc5e-custom-gpt-creator
Daily Schedule Manager,1,Organisation,GPT for creating a daily schedule,https://chatgpt.com/g/g-aId4Jee9a-daily-schedule-manager
Data Visualisation & Storytelling Guide,1,Data Discovery,Guides users towards thinking about how data could be effectively visualised including through leveraging mixed media.,https://chatgpt.com/g/g-r2ms27CFU-data-visualisation-storytelling-guide
Disaster Debrief Assistant,,Preparedness,A GPT to empathetically help the user to debrief from an event in which things went wrong,https://chatgpt.com/g/g-UHFWorGUH-disaster-debrief-assistant
Disaster Preparedness Expert,,Preparedness,Generates detailed disaster scenarios and preparedness steps.,https://chatgpt.com/g/g-LoHCuhe5q-disaster-preparedness-expert
Disaster Scenario Ideator,,Preparedness,A GPT to create disaster scenarios to assist with realistic preparedness planning. Outputs as briefs.,https://chatgpt.com/g/g-RkR2Uvsg2-disaster-scenario-ideator
Document Table Finder,,Data Discovery,Reviews documents to identify and list data tables with summaries and page references.,https://chatgpt.com/g/g-xG2mDmaui-document-table-finder
Don't Custom GPT Alone!,1,GPT Development,A GPT to help custom GPT builders and enthusiasts to find others who share their passion and belief in this AI application,https://chatgpt.com/g/g-oQJ8UozJB-don-t-custom-gpt-alone
Do We Need This Meeting?,,Organisation,An organisation to screen out unnecessary meetings and suggest alternative approaches,https://chatgpt.com/g/g-MKuuCzRAo-do-we-need-this-meeting
Dummy Tech Project Ideator,,Research Assistance,GPT for coming up with dummy projects for helping users to learn about different technologies,https://chatgpt.com/g/g-jS50pH8gq-dummy-tech-project-ideator
Email Optimiser,1,"Work tool,Writing","Refines and organizes draft emails, suggesting subject lines and reformatting content.",https://chatgpt.com/g/g-IIErWVz2I-email-optimizer
Fedora Hardware Finder,,Technology,A GPT which tries to find hardware that Fedora users have reported to be compatible with this Linux distro,https://chatgpt.com/g/g-aOzPvSNRd-fedora-hardware-finder
Find Me Compatible Hardware,1,Research Assistance,A GPT that remembers your hardware and suggests compatible hardware for it,https://chatgpt.com/g/g-EaJ2gATCY-find-me-compatible-hardware
Flight Mode,,Productivity,Helps users stay productive on long haul flights without internet.,https://chatgpt.com/g/g-K9jZ9Y6TG-flight-mode
Forgetting Something?,,Organisation,Friendly assistant to remind you of belongings before you leave.,https://chatgpt.com/g/g-jYk6yd9Di-forgetting-something
If We Don't Change...,1,Research Assistance,A GPT to highlight the potential costs of humanity failing to tackle vital issues including climate change,https://chatgpt.com/g/g-AltOe5P4k-if-we-don-t-change
Impact Investing Digest,,Technology,Summarizes developments in the world of impact investing,https://chatgpt.com/g/g-JIhIf4TCa-impact-investing-digest
In Flight Wifi?,,Organisation,A GPT to identify whether there will be in-flight internet available,https://chatgpt.com/g/g-Fn8g9FV5L-in-flight-wifi
Iterative GPT Suggester,1,GPT Development,Suggests useful prompts for a given context and objective.,https://chatgpt.com/g/g-pAMcuKrp4-iterative-gpt-suggester
Keep Me On Time,1,"Time Management,Diary and Calendar,Productivity",This GPT tries to act as a personal assistant focused on helping the user to keep to a predetermined daily schedule,https://chatgpt.com/g/g-hyQHLgj8R-keep-me-on-time
Let's Change The World,1,Organisation,A GPT to guide and encourage users to develop effective advocacy campaigns for causes that matter to them,https://chatgpt.com/g/g-rrir54rrF-let-s-change-the-world
Let's Work Remotely!,1,Productivity,Suggests remote working ideas based on location.,https://chatgpt.com/g/g-HC29931QG-let-s-work-remotely
Media Monitoring Helper,1,Work tool,A media monitoring assistant focusd on helping monitor for personal coverage,https://chatgpt.com/g/g-BgJXKFLbW-media-monitoring-helper
Media Opportunity Screener,,Work tool,Conducts background research on inbound media requests and offers assessments as to likely reach,https://chatgpt.com/g/g-U8MlFgUM1-media-opportunity-screening-assistant
Media Outreach Assistant,1,"Productivity,Work tool",Helps the user to develop media lists suggesting relevant journalists to contact,https://chatgpt.com/g/g-VDgK9IZEL-media-outreach-assistant
Meeting Agenda Assistant,1,"Organisation,Work tool",A GPT to assist in crafting professional and well-organised meeting agendas,https://chatgpt.com/g/g-pz34K5RyA-meeting-agenda-assistant
Meeting Minutes Recorder,1,Work tool,Records and organizes minutes of meetings automatically.,https://chatgpt.com/g/g-VspVSDA3O-meeting-minutes-assistant
Non-Profit Discount Helper,,Productivity,A GPT to help non-profit organisations find technology providers that offer discounts,https://chatgpt.com/g/g-4Jz6DP66I-non-profit-discount-helper
Open Data Finder,,Data Discovery,Finds open source datasets based on user queries.,https://chatgpt.com/g/g-3iG0XaYeM-open-data-finder
Organisation Relationship Finder,,Organisation,A GPT to help map out relationships between organisations and identify associated organisations,https://chatgpt.com/g/g-vTrVsc1o4-organisation-relationship-finder
PostgreSQL Expert,1,Technology,"Answers questions and helps with PostgreSQL queries and concepts, from basics to advanced use cases in a friendly tone.",https://chatgpt.com/g/g-gYptVuav6-postgresql-expert
Preparedness Advisor,,Preparedness,Proactively assesses and improves disaster preparedness.,https://chatgpt.com/g/g-YoGDlToV7-preparedness-advisor
Preparedness Brief Creator,,Preparedness,A GPT that creates elaborate briefs helping users to advance their preparedness for specific scenarios,https://chatgpt.com/g/g-SyuJVbnaa-preparedness-brief-creator
Pub Crawl Creator,,Travel,Design a sample itinerary for a pub crawl,https://chatgpt.com/g/g-BLmCqk9lY-pub-crawl-creator
"Quiet, Please!",,Travel,"A GPT to help those who live with sound sensitivity to find places to get some peace and quiet, whether for work or lesiure",https://chatgpt.com/g/g-DP63EeIhs-quiet-please
Recent Documentary Finder,,Fun,Suggests recent documentaries for documentary fiends who have already seen all the good ones!,https://chatgpt.com/g/g-p3uEijTce-recent-documentary-finder
Regulation & Policy Comparison Assistant,,Productivity,A GPT to compare different policies and regulations,https://chatgpt.com/g/g-bRtrixyRZ-regulation-policy-comparison-assistant
Schema Genie,,Data Discovery,Assists in creating comprehensive Postgres database schemas.,https://chatgpt.com/g/g-5cNjzPcmY-schema-genie
Self-Hosted Tech Finder,,Technology,A GPT which tries to identify self-hostable alternatives to SaaS offerings,https://chatgpt.com/g/g-hTkt9hW9b-self-hosted-tech-finder
Social Awkwardness Engineer,1,Fun,Creates socially awkward situations based on given scenarios.,https://chatgpt.com/g/g-uI9E4LPzp-social-awkwardness-engineer
Stack Research Assistant,,Technology,A GPT for suggesting stack options for a particular technical objective,https://chatgpt.com/g/g-1YCZiSetK-stack-research-assistant
Stat Update Helper,1,Work tool,Helps users update old statistics with reliable new data.,https://chatgpt.com/g/g-1YeLaQ3PR-stat-update-helper
Tech Improvement Guide,,Productivity,A GPT for guiding the user towards resolving a technical difficulty,https://chatgpt.com/g/g-iUpxWa7xe-tech-improvement-guide
Tech Product Finder,,Technology,GPT which receives a spec from the user and then identifies potential products,https://chatgpt.com/g/g-VYWtk1FeY-tech-product-finder
Tech Stack Optimizer,,Technology,Suggests AI/GPT solutions to improve your technology stack.,https://chatgpt.com/g/g-p4gPcrdF2-tech-stack-optimizer
The Checklist Pro,1,Organisation,"Generates tailored checklists to ensure safety, preparedness, and completeness for various activities and contexts.",https://chatgpt.com/g/g-xE1MjiydB-checklist-pro
The Professional Skeptic,,Organisation,A GPT designed to probe claims and push sources,https://chatgpt.com/g/g-lWV9aFBg2-the-professional-skeptic
Travel Prep Pro,1,Organisation,"Your ultimate trip preparation assistant, ensuring you're ready for every aspect of your journey.",https://chatgpt.com/g/g-KU1PJR5kq-travel-prep-pro
True Story Movie Recommender,,Fun,Personalized biopics and documentary movie recommendation GPT,https://chatgpt.com/g/g-IyCCkqm6p-true-story-movie-recommender
Weekly Workflow Planning Assistant,1,Organisation,Weekly Workflow Planning Assistant,https://chatgpt.com/g/g-ax67GB1Hy-weekly-workflow-planning-assistant
Ye Olde Text Converter,,Fun,"Converts text into formal, old-fashioned language.",https://chatgpt.com/g/g-fbjpnwBGj-ye-olde-text-converter
