Name,Summary,Daniel Notes,Sample Prompt,Link,Function,Impact Specific?,Potential Utility (0-5),Performance Rating (0-5),Purpose,Timestamp
AI Could Help Here!,Identifies ways AI and GPTs can improve your life suggesting concrete use-cases,,How could I use a GPT to help me prepare for an upcoming roundtable event?,https://chatgpt.com/g/g-9V1PGBmlv-ai-could-help-here,General,,4,,"Productivity,Stack Enhancement",2024-07-13 21:04:38+00:00
Boss Update Batcher,GPT to create a running log of updates for a boss,Idea is to gather and consolidate status updates (for output it reformats). Cautiously optimistic. If reliable (memory functionality is vital) this could be really helpful,Please add [update] to the next batch of updates for [boss],https://chatgpt.com/g/g-P37s96ili-boss-update-batcher,General,,5,,Work tool,2024-07-13 20:23:32+00:00
Brainstorming Assistant,GPT which provides guidance to help the user have effective brainstorming sessions,Built for internal use / deadline highlighter intended to jump time specific items to the top of the agenda,Can we start a brainstorming session please to advance preparations for [X]?,https://chatgpt.com/g/g-nqw5EokfU-brainstorming-assistant,General,,4,,Professional Development,2024-07-19 10:41:47+00:00
Brief Generator,Summarizes and organizes activities into brief reports with highlights for deadlines.,Built for my work but actually does a pretty nice job,Can you prepare a brief for my boss summarising the outcome of the following meeting? [Text],https://chatgpt.com/g/g-v9bULcFsS-brief-generator,General,,4,,Work tool,2024-07-13 23:12:06+00:00
Custom GPT Creator Wizard,Helps brainstorm and create custom GPTs with detailed instructions.,Helps with creating useful custom GPTs on top of OpenAI,What kind of GPTs could I create to help identify journalists who may be interested in [topic] and what configuration parameters might be most helpful?,https://chatgpt.com/g/g-Sg1Uvkc5e-custom-gpt-creator,General,,4,,GPT Development,2024-07-13 23:10:28+00:00
Daily Schedule Manager,GPT for creating a daily schedule,,Can you help me to create a work plan for today?,https://chatgpt.com/g/g-aId4Jee9a-daily-schedule-manager,General,,3,,Organisation,2024-07-13 23:48:37+00:00
Data Visualisation & Storytelling Guide,Guides users towards thinking about how data could be effectively visualised including through leveraging mixed media.,Idea is to suggest specific data vis formats for a given dataset. I see potential in this one in trying to nudge me to think beyond the rather staid and boring formats like pie charts!,Please take a look at this dataset. What visualisations could I use to highlight some of its most interesting findings?,https://chatgpt.com/g/g-r2ms27CFU-data-visualisation-storytelling-guide,Data,,4,,Data Discovery,2024-07-13 21:01:34+00:00
Document Stats And Numbers Miner,A GPT which parses user-uploaded documents and identifies statistics and data tables contained in them. The GPT outputs a report attempting to assess how noteworthy the stats are.,Idea here was to quickly flag mentioned datapoints in docs,Can you please identify any statistics in this dataset?,https://chatgpt.com/g/g-4cjYLd5j5-documents-stats-and-numbers-miner,Data,,4,,Research Assistance,2024-07-18 20:39:01+00:00
Document Table Finder,Reviews documents to identify and list data tables with summaries and page references.,As above but specifically looks for tables,,https://chatgpt.com/g/g-xG2mDmaui-document-table-finder,Data,,4,,Data Discovery,2024-07-13 23:06:04+00:00
Do We Really Need This Meeting?,An organisation to screen out unnecessary meetings and suggest alternative approaches,,,https://chatgpt.com/g/g-MKuuCzRAo-do-we-need-this-meeting,,,3,,Organisation,2024-07-13 21:32:11+00:00
Email Optimiser,"Refines and organizes draft emails, suggesting subject lines and reformatting content.",This one has proven extremely useful. Reformats text by prefacing it with a TL;DR section and parses input text for any deadlines/time-sensitive items and bumps them up when dectected,Can you please reformat this meeting for easy reading for recipients? [Email],https://chatgpt.com/g/g-IIErWVz2I-email-optimizer,General,,5,4,"Work tool,Writing",2024-07-13 23:04:21+00:00
Greenhouse Gas Emissions Data Finder,A GPT whose purpose is to help the user identify datasets containing companies' GHG emissions data,Decent scraping tool to try track down elusive GHG data as it's released,Has [company] published any data in the past year thata includes its emissions data?,https://chatgpt.com/g/g-H4tzduTlG-greenhouse-gas-emissions-data-finder,Data,Y,5,3,Work tool,2024-07-14 00:33:54+00:00
If We Don't Change...,A GPT to highlight the potential costs of humanity failing to tackle vital issues including climate change,Scenario-modelling human inactivity and its probable effects on the planet + SDG progress,,https://chatgpt.com/g/g-AltOe5P4k-if-we-don-t-change,,Y,4,,Research Assistance,2024-07-17 23:46:57+00:00
Impact Investing Digest,Summarizes developments in the world of impact investing,As with every web scraping GPT this one has to be used with caution but so far I've found it helpful. Expect results to improve as OpenAI's models iterate,Can you please provide a summary of major news items in the world of impact investing over the past week?,https://chatgpt.com/g/g-JIhIf4TCa-impact-investing-digest,,Y,,,Technology,2024-07-13 23:12:38+00:00
Media Monitoring Brief Assistant,Prepares customised briefs about a specific topic taking inputs from the user,Helpful. Try running it on specific keywords and timeframe limiters,,https://chatgpt.com/g/g-zobI0AaRr-media-monitoring-brief-helper,,,,,Research Assistance,2024-07-18 21:54:32+00:00
Media Monitoring Helper,A media monitoring assistant focusd on helping monitor for personal coverage,Context isn't set for any one individual so you need to state it every time,,https://chatgpt.com/g/g-BgJXKFLbW-media-monitoring-helper,,,,,Work tool,2024-07-13 21:24:15+00:00
Media Opportunity Screener,Conducts background research on inbound media requests and offers assessments as to likely reach,Built for my own use to quickly triage inbound media requests. Outputs stats about probable reach.,We've received an interview request from [X]. Can you please provide an assessment of the request and provide numbers for this outlet's reputation and estimated reach?,https://chatgpt.com/g/g-U8MlFgUM1-media-opportunity-screening-assistant,,,,,Work tool,2024-07-13 21:35:36+00:00
Media Outreach Assistant,Helps the user to develop media lists suggesting relevant journalists to contact,Mixed results but very much worth playing aorund with,,https://chatgpt.com/g/g-VDgK9IZEL-media-outreach-assistant,,,,,"Productivity,Work tool",2024-07-13 21:23:13+00:00
Meeting Agenda Assistant,A GPT to assist in crafting professional and well-organised meeting agendas,Super useful for quickly formatting a string of text into an organised agenda,Can you please reformat this text into a meeting agenda?,https://chatgpt.com/g/g-pz34K5RyA-meeting-agenda-assistant,,,,,"Organisation,Work tool",2024-07-13 21:29:38+00:00
